author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312167673/;Москва;rent;flat;3;7;1;32.7;140400;0;Дорогомилово; 1812 года;7;Парк Победы
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309236956/;Москва;rent;flat;12;25;2;61.3;135000;0;Фили-Давыдково;Давыдковская ;5;Славянский бульвар
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311297058/;Москва;rent;flat;11;14;2;39.0;47500;0;;шоссе Остафьевское;14к3;Щербинка
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311437565/;Москва;rent;flat;11;13;2;64.0;158400;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312029063/;Москва;rent;flat;20;26;1;50.0;62900;0;Митино;Муравская ;38к1;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310719381/;Москва;rent;flat;5;9;1;19.9;42000;0;;проспект Новосередневский;17к1;Филатов Луг
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312579807/;Москва;rent;flat;10;23;1;45.0;80000;0;Донской;Севастопольский проспект;7/6к1;Крымская
ID 119974420;homeowner;https://www.cian.ru/rent/flat/306041199/;Москва;rent;flat;7;26;2;52.0;98000;0;Чертаново Северное;Балаклавский проспект;15;Чертановская
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/312562444/;Москва;rent;flat;13;17;1;35.4;55000;0;; Александры Монаховой;85к3;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310965313/;Москва;rent;flat;2;12;1;36.8;120000;0;Раменки;Винницкая ;8к1;Раменки
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312355914/;Москва;rent;flat;4;13;2;63.0;146990;0;Филевский парк; Василисы Кожиной;13;Парк Победы
;;https://www.cian.ru/rent/flat/312972561/;Москва;rent;flat;4;5;1;44.5;45000;0;Донской; Орджоникидзе;5К2;Ленинский проспект
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/312588098/;Москва;rent;flat;55;75;2;101.0;430000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311441391/;Москва;rent;flat;4;27;1;27.0;95000;0;Хорошевский; Зорге;9к2;Полежаевская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312719498/;Москва;rent;flat;6;22;2;54.6;85000;0;;бульвар Андрея Тарковского;11;Рассказовка
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/300878014/;Москва;rent;flat;3;13;2;47.0;118900;0;Хорошевский;Ходынский бульвар;2;ЦСКА
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/300415917/;Москва;rent;flat;9;13;2;47.0;121900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311845214/;Москва;rent;flat;19;20;1;19.6;34800;0;Крюково;проспект Георгиевский;27к2;Зеленоград — Крюково
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/308537842/;Москва;rent;flat;13;15;2;47.0;118900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311132770/;Москва;rent;flat;8;24;1;32.3;98000;0;Хорошево-Мневники;Шелепихинская набережная;40к3;Шелепиха
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312894987/;Москва;rent;flat;11;14;1;17.9;33900;0;;проспект Куприна;30к9;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311054568/;Москва;rent;flat;10;41;1;49.5;140000;0;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312252864/;Москва;rent;flat;13;23;2;48.0;107500;0;Щукино; Берзарина;30;Октябрьское поле
ID 127143123;homeowner;https://www.cian.ru/rent/flat/312972838/;Москва;rent;flat;12;14;1;36.56;40000;0;; Логинова;7к1;Щербинка
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312676823/;Москва;rent;flat;10;24;2;41.0;97500;0;Даниловский;Автозаводская ;23Бк2;ЗИЛ
;;https://www.cian.ru/rent/flat/312585522/;Москва;rent;flat;2;6;1;41.7;125000;0;Нагатинский затон;проспект Андропова;9/1к3;Технопарк
ID 89414531;realtor;https://www.cian.ru/rent/flat/295336633/;Москва;rent;flat;28;33;1;46.0;62000;0;Рязанский; Михайлова;30Ак6;Окская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312071958/;Москва;rent;flat;2;13;2;49.0;120900;0;Лефортово;шоссе Энтузиастов;3к1;Москва-Товарная
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/312588047/;Москва;rent;flat;51;75;2;61.0;290000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Ирина Титова;realtor;https://www.cian.ru/rent/flat/312633631/;Москва;rent;flat;30;78;2;65.0;299999;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/299455857/;Москва;rent;flat;48;85;2;68.0;235000;0;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити
EverestCity;real_estate_agent;https://www.cian.ru/rent/flat/309710296/;Москва;rent;flat;42;78;2;67.0;310000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312578273/;Москва;rent;flat;5;15;1;36.0;67900;0;; Василия Ощепкова;1;Новомосковская
ID 13043628;homeowner;https://www.cian.ru/rent/flat/296053926/;Москва;rent;flat;5;5;2;57.5;199000;0;Замоскворечье;Садовническая ;11С10;Новокузнецкая
ИП Боброва Е. И.;real_estate_agent;https://www.cian.ru/rent/flat/313016470/;Москва;rent;flat;12;15;2;75.0;85000;0;Отличная квартира!Прекрасный !2-комн. квартира;75 м²;;
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312033792/;Москва;rent;flat;8;21;2;56.2;120000;0;Южное Медведково;проезд Дежнева;30К3;Бабушкинская
Ирина Титова;realtor;https://www.cian.ru/rent/flat/312577630/;Москва;rent;flat;26;85;2;63.0;259999;0;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310499257/;Москва;rent;flat;3;9;2;42.8;57000;0;Северное Медведково;Широкая ;19К2;Медведково
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312830195/;Москва;rent;flat;46;52;1;25.0;64900;0;Свиблово;проезд Серебрякова;11к2;Свиблово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311870756/;Москва;rent;flat;11;14;2;46.7;65000;0;Ростокино;Будайский проезд;3;Ростокино
ID 28309722;homeowner;https://www.cian.ru/rent/flat/208028423/;Москва;rent;flat;21;25;2;42.0;70000;0;; Саларьевская;8к1;Саларьево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311366334/;Москва;rent;flat;2;5;1;28.0;70000;0;Марфино;Гостиничная ;5;Окружная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313091448/;Москва;rent;flat;5;14;1;19.0;44900;0;; Усадебный Парк;7к1;Толстопальцево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312774972/;Москва;rent;flat;2;18;1;47.1;50000;0;; Александры Монаховой;98к1;Бунинская аллея
Дарья Козырь;realtor;https://www.cian.ru/rent/flat/313087428/;Москва;rent;flat;6;49;1;53.0;190000;0;Хорошево-Мневники; Генерала Глаголева;14Ак1;Народное Ополчение
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312981684/;Москва;rent;flat;23;24;2;54.0;115400;0;Щукино; Берзарина;30А;Бульвар Генерала Карбышева
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/310900998/;Москва;rent;flat;2;8;2;56.0;200000;0;Пресненский;Мерзляковский переулок;5/1;Арбатская
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/312611081/;Москва;rent;flat;11;11;1;75.0;350000;0;Хамовники;Трубецкая ;12;Фрунзенская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310840415/;Москва;rent;flat;2;6;2;56.0;200000;0;Пресненский;Мерзляковский переулок;5/1;Арбатская
Елена Филатова;realtor;https://www.cian.ru/rent/flat/311543020/;Москва;rent;flat;5;36;2;50.0;135000;0;Хорошево-Мневники;Шелепихинская набережная;34к2зд1;Шелепиха
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310831644/;Москва;rent;flat;7;79;2;62.0;280000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ID 90857299;homeowner;https://www.cian.ru/rent/flat/312975807/;Москва;rent;flat;28;29;1;37.0;130000;0;Тимирязевский;Дмитровский проезд;1;Дмитровская
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/rent/flat/308278496/;Москва;rent;flat;45;78;2;58.0;320000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312827774/;Москва;rent;flat;11;12;2;40.0;70000;0;Кузьминки; Федора Полетаева;28;Рязанский проспект
ФЕРРУМ ЭСТЕЙТ;real_estate_agent;https://www.cian.ru/rent/flat/312860572/;Москва;rent;flat;9;12;1;33.5;40000;0;Зябликово;Задонский проезд;16К1;Шипиловская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311783717/;Москва;rent;flat;5;12;1;38.6;40000;0;Бирюлево Восточное;Лебедянская ;23;Лебедянская
ID 77238076;homeowner;https://www.cian.ru/rent/flat/313036095/;Москва;rent;flat;2;7;1;45.0;62500;0;;бульвар Андрея Тарковского;6;Рассказовка
МГСН-Проспект Мира;real_estate_agent;https://www.cian.ru/rent/flat/312190320/;Москва;rent;flat;7;9;2;37.0;100000;0;Щукино; Маршала Вершинина;3К2;Октябрьское поле
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312976373/;Москва;rent;flat;9;18;1;39.0;62900;0;; Красулинская;19;Филатов Луг
ID 47207960;realtor;https://www.cian.ru/rent/flat/312705375/;Москва;rent;flat;5;13;2;70.0;200000;0;Пресненский;Большая Садовая ;5к1;Маяковская
EverestCity;real_estate_agent;https://www.cian.ru/rent/flat/306282013/;Москва;rent;flat;84;95;2;74.0;330000;0;Пресненский;набережная Пресненская;12;Деловой центр
Татьяна Серебрякова;realtor;https://www.cian.ru/rent/flat/313013810/;Москва;rent;flat;10;22;2;48.0;77000;0;Нижегородский;Газгольдерная ;10;Нижегородская
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/rent/flat/311711895/;Москва;rent;flat;34;73;2;108.5;400000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/311676529/;Москва;rent;flat;56;78;2;115.0;310000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312894988/;Москва;rent;flat;10;15;1;20.0;50000;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
ID 61118452;homeowner;https://www.cian.ru/rent/flat/270449379/;Москва;rent;flat;7;24;1;43.0;95000;0;Фили-Давыдково; Герасима Курина;18;Славянский бульвар
Екатерина Берест;realtor;https://www.cian.ru/rent/flat/313028332/;Москва;rent;flat;10;14;2;60.0;100000;0;Тропарево-Никулино;Ленинский проспект;154К2;Юго-Западная
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/312893897/;Москва;rent;flat;12;33;1;28.0;80000;0;Кунцево; Академика Павлова;56к1;Крылатское
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312307562/;Москва;rent;flat;2;5;2;90.0;360000;0;Пресненский;Малая Бронная ;13;Тверская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311237835/;Москва;rent;flat;15;79;2;63.0;270000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/294458860/;Москва;rent;flat;28;78;2;60.0;230000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Agent 007;real_estate_agent;https://www.cian.ru/rent/flat/312032470/;Москва;rent;flat;4;9;2;37.4;65000;0;Кузьминки; Маршала Чуйкова;7К4;Кузьминки
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313046606/;Москва;rent;flat;2;9;1;35.0;50000;0;Марьина роща;Стрелецкая ;14К1;Марьина Роща
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312832759/;Москва;rent;flat;9;17;2;51.0;78200;0;Зюзино;Болотниковская ;33К2;Каховская
ID 18390982;unknown;https://www.cian.ru/rent/flat/277218994/;Москва;rent;flat;11;22;1;40.0;100000;0;Тропарево-Никулино;Озерная ;35;Озёрная
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312897721/;Москва;rent;flat;15;17;1;38.0;65000;0;Теплый Стан; Генерала Тюленева;31К1;Тёплый Стан
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312676297/;Москва;rent;flat;2;6;2;56.0;200000;0;Пресненский;Мерзляковский переулок;5/1;Арбатская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312164858/;Москва;rent;flat;3;10;1;37.2;70000;0;Северное Бутово;Феодосийская ;7к6;Бульвар Дмитрия Донского
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/309241951/;Москва;rent;flat;12;23;2;41.0;58000;0;; Картмазовские Пруды;2к4;Филатов Луг
Лидер-Групп;real_estate_agent;https://www.cian.ru/rent/flat/311294648/;Москва;rent;flat;4;23;1;38.0;70000;0;Черемушки;Нахимовский проспект;31к3;Профсоюзная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312585231/;Москва;rent;flat;1;17;2;54.1;67000;0;Чертаново Южное;Варшавское шоссе;152К3;Улица Академика Янгеля
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312714638/;Москва;rent;flat;11;14;1;35.5;40000;0;; Аэростатная;6к4;Санино
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312935632/;Москва;rent;flat;9;78;2;62.1;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312884237/;Москва;rent;flat;51;69;2;51.0;300000;0;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити
Life Style;real_estate_agent;https://www.cian.ru/rent/flat/312229772/;Москва;rent;flat;4;22;1;40.0;50000;0;Ново-Переделкино; Скульптора Мухиной;2;Новопеределкино
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/rent/flat/312472650/;Москва;rent;flat;4;6;2;48.0;340000;0;Хамовники;Зубовская ;7;Парк Культуры
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310694324/;Москва;rent;flat;5;14;1;45.0;55000;0;Братеево;Алма-Атинская ;8К1;Алма-Атинская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311393380/;Москва;rent;flat;4;5;2;42.4;48000;0;Крюково;Зеленоград;к1808;Зеленоград — Крюково
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312989448/;Москва;rent;flat;38;69;2;51.0;300000;0;Пресненский;Краснопресненская набережная;14Ак2;Москва-Сити
Тимур Данилян;realtor;https://www.cian.ru/rent/flat/312203075/;Москва;rent;flat;54;78;2;55.0;270000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312799905/;Москва;rent;flat;4;17;1;36.5;56700;0;Западное Дегунино;Весенняя ;4;Грачёвская
ID 61277972;homeowner;https://www.cian.ru/rent/flat/296443225/;Москва;rent;flat;3;5;2;42.0;65000;0;Зюзино;Херсонская ;7К3;Зюзино
ID 13430040;realtor;https://www.cian.ru/rent/flat/312168201/;Москва;rent;flat;11;15;2;64.2;92000;0;Крылатское;Осенняя ;4К1;Крылатское
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312707018/;Москва;rent;flat;3;15;1;25.1;55000;0;; Малое Понизовье;4;Филатов Луг
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/313075585/;Москва;rent;flat;14;14;2;124.0;400000;0;Дорогомилово;набережная Тараса Шевченко;1;Киевская
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/307670511/;Москва;rent;flat;50;85;2;92.0;270000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/312622823/;Москва;rent;flat;5;7;2;120.5;1000000;0;Хамовники;Пречистенская набережная;17-19;Кропоткинская
Ирина Титова;realtor;https://www.cian.ru/rent/flat/309356196/;Москва;rent;flat;15;78;2;63.0;249990;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312227472/;Москва;rent;flat;9;40;2;45.0;200000;0;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха
Светлана Биличенко;realtor;https://www.cian.ru/rent/flat/312931063/;Москва;rent;flat;2;9;1;36.0;40000;0;Кузьминки;Зеленодольская ;15К1;Кузьминки
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313040605/;Москва;rent;flat;6;8;1;32.0;90000;0;Тверской;Новослободская ;49/2;Менделеевская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/313040918/;Москва;rent;flat;7;21;1;43.5;130000;0;Пресненский; Сергея Макеева;9к3;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311424496/;Москва;rent;flat;12;33;1;33.8;56000;0;Митино;Муравская ;38Бк3;Пятницкое шоссе
V I B E;real_estate_agent;https://www.cian.ru/rent/flat/313054402/;Москва;rent;flat;11;18;2;62.0;190000;0;Беговой;Ленинградский проспект;29к1;Динамо
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/313040471/;Москва;rent;flat;4;12;2;50.0;85000;0;Таганский;Большая Калитниковская ;42А;Калитники
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/305740348/;Москва;rent;flat;29;75;2;112.0;255000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311107454/;Москва;rent;flat;7;7;2;98.0;230000;0;Тверской;Тверская ;28к1;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309809058/;Москва;rent;flat;6;25;2;65.0;140000;0;Фили-Давыдково;Давыдковская ;16;Славянский бульвар
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312514971/;Москва;rent;flat;16;22;1;41.0;55600;0;; Картмазовские Пруды;2к4;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311192379/;Москва;rent;flat;9;50;2;70.0;450000;0;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310272401/;Москва;rent;flat;5;8;2;96.0;320000;0;Арбат;Гоголевский бульвар;29;Арбатская
Александр Чайковский;realtor;https://www.cian.ru/rent/flat/312849752/;Москва;rent;flat;4;7;2;65.5;70000;0;Коптево; Зои и Александра Космодемьянских;35/1;Красный Балтиец
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312431139/;Москва;rent;flat;15;17;2;55.0;70000;0;Гольяново;Алтайская ;21;Гольяново
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312236273/;Москва;rent;flat;16;25;2;60.0;85000;0;Зюзино;Симферопольский бульвар;30к3;Чертановская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310666790/;Москва;rent;flat;13;17;1;31.7;58900;0;; Александры Монаховой;87к2;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310379645/;Москва;rent;flat;2;5;2;45.1;73000;0;Богородское;Бойцовая ;11;Бульвар Рокоссовского
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/312683596/;Москва;rent;flat;15;21;2;60.0;220000;0;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312804647/;Москва;rent;flat;8;17;1;34.0;70000;0;Метрогородок;Тагильская ;3к4;Бульвар Рокоссовского
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/293041539/;Москва;rent;flat;7;16;2;200.0;450000;0;Арбат; Новый Арбат;27;Смоленская
