author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Офис Гид;real_estate_agent;https://www.cian.ru/rent/flat/287197129/;Москва;rent;flat;21;24;1;39.0;50000;0;Левобережный;Беломорская ;8к1;Беломорская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311301685/;Москва;rent;flat;32;32;1;33.8;52600;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312482630/;Москва;rent;flat;6;8;2;60.0;190000;0;Пресненский;Тишинская площадь;8;Белорусская
Лидер Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/311488005/;Москва;rent;flat;6;7;2;48.0;48000;0;Обручевский; Академика Челомея;1А;Воронцовская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311854566/;Москва;rent;flat;5;12;1;37.0;63000;0;; Эдварда Грига;16к2;Потапово
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/309430121/;Москва;rent;flat;2;21;2;38.3;78000;0;Свиблово;Лазоревый проезд;5к4;Ботанический сад
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309149879/;Москва;rent;flat;23;33;1;32.0;59000;0;Метрогородок;Открытое шоссе;18Ак1;Бульвар Рокоссовского
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312620372/;Москва;rent;flat;2;9;1;40.9;67900;0;; Малое Понизовье;3;Филатов Луг
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312799157/;Москва;rent;flat;12;12;2;38.5;75000;0;Алексеевский;1-й Рижский переулок;2К7;Алексеевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312198235/;Москва;rent;flat;4;15;1;23.0;65000;0;Останкинский;Олонецкая ;6;Отрадное
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312015508/;Москва;rent;flat;4;23;1;34.3;73000;0;Проспект Вернадского;проспект Вернадского;54;Проспект Вернадского
METRAGE;real_estate_agent;https://www.cian.ru/rent/flat/312887564/;Москва;rent;flat;4;15;2;66.0;165000;0;Таганский;Таганская ;36К2;Марксистская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311795918/;Москва;rent;flat;4;15;2;51.6;65000;0;; Василия Ощепкова;4;Новомосковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313030273/;Москва;rent;flat;2;24;1;31.9;67900;0;Текстильщики;1-й Грайвороновский проезд;3Ак2;Текстильщики
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313029527/;Москва;rent;flat;14;17;2;54.0;70000;0;Москворечье-Сабурово; Москворечье;4К5;Кантемировская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312012978/;Москва;rent;flat;9;9;1;30.1;78200;0;Даниловский;Дербеневская набережная;13/17К3;Крестьянская застава
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312478679/;Москва;rent;flat;22;25;1;31.7;55000;0;Люблино;Люблинская ;72к3;Депо
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312992946/;Москва;rent;flat;7;12;2;52.3;67900;0;Строгино; Твардовского;11;Строгино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313029666/;Москва;rent;flat;12;17;1;35.3;70000;0;;проспект Куприна;18к1;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312010121/;Москва;rent;flat;27;33;1;32.6;85000;0;Очаково-Матвеевское;Очаковское шоссе;5к3;Аминьевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312577634/;Москва;rent;flat;15;17;1;23.2;51700;0;; Александры Монаховой;87к2;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311345711/;Москва;rent;flat;5;17;2;50.8;52600;0;Силино;Зеленоград;к1126;Зеленоград — Крюково
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312802343/;Москва;rent;flat;7;25;1;32.0;52600;0;Крюково;проспект Георгиевский;27к1;Зеленоград — Крюково
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312305638/;Москва;rent;flat;2;16;1;40.6;52600;0;;проспект Куприна;1к1;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311873209/;Москва;rent;flat;12;23;1;38.0;52600;0;Митино;Муравская ;38к1;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311991886/;Москва;rent;flat;1;9;1;36.8;52600;0;Ясенево; Рокотова;8К5;Ясенево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312341820/;Москва;rent;flat;24;25;1;36.0;65000;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312639508/;Москва;rent;flat;2;11;1;31.3;52600;0;Крюково;проспект Георгиевский;27к1;Зеленоград — Крюково
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312589915/;Москва;rent;flat;24;33;1;19.7;52600;0;Западное Дегунино;Базовская ;15Бк2;Грачёвская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312533488/;Москва;rent;flat;4;17;1;35.2;52600;0;Южное Бутово;Варшавское шоссе;282к2;Щербинка
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310665829/;Москва;rent;flat;1;2;1;16.0;53000;0;Вешняки;аллея Первой Маевки;15с4;Вешняки
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/312989476/;Москва;rent;flat;4;9;2;50.0;60000;0;Гольяново;Чусовская ;11К1;Щёлковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311149414/;Москва;rent;flat;3;19;1;33.8;54900;0;Митино;Муравская ;38Бк3;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310666792/;Москва;rent;flat;15;25;2;44.8;55000;0;Крюково;проспект Георгиевский;27к1;Зеленоград — Крюково
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313050883/;Москва;rent;flat;13;37;2;45.0;90000;0;Войковский;Головинское шоссе;10Б;Водный стадион
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312491700/;Москва;rent;flat;4;17;2;59.7;57700;0;; Александры Монаховой;90к4;Бунинская аллея
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311973057/;Москва;rent;flat;9;33;1;20.0;57700;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312990317/;Москва;rent;flat;3;17;1;19.9;57700;0;Митино;Муравская ;38Бк3;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312430672/;Москва;rent;flat;6;14;1;23.3;58000;0;Останкинский;Сельскохозяйственная ;39;Ботанический сад
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312105884/;Москва;rent;flat;3;21;1;22.0;59000;0;Очаково-Матвеевское; Малая Очаковская;4Ак1;Озёрная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312378634/;Москва;rent;flat;7;13;1;29.1;60000;0;Рязанский; Михайлова;30Ак4;Плющево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311608071/;Москва;rent;flat;2;17;1;32.2;64900;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312686948/;Москва;rent;flat;12;18;2;68.6;64900;0;; Александры Монаховой;92к2;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311048425/;Москва;rent;flat;2;5;1;23.0;62900;0;Ростокино;Сельскохозяйственная ;17к4;Ботанический сад
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312518658/;Москва;rent;flat;20;25;2;41.0;65000;0;Люблино;Люблинская ;78к2;Перерва
Светлана Биличенко;realtor;https://www.cian.ru/rent/flat/312940569/;Москва;rent;flat;14;16;2;56.0;87000;0;Ясенево;Голубинская ;24К1;Новоясеневская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311664336/;Москва;rent;flat;13;30;2;61.7;104600;0;Зябликово;Ореховый бульвар;24к4;Красногвардейская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311739263/;Москва;rent;flat;3;17;1;40.7;62900;0;Южное Бутово;Варшавское шоссе;282к1;Бульвар Дмитрия Донского
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/312249326/;Москва;rent;flat;4;5;2;45.0;60000;0;Хорошево-Мневники; Демьяна Бедного;1К6;Народное Ополчение
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311326905/;Москва;rent;flat;21;33;1;32.1;75000;0;Гольяново;Амурская ;2к2;Черкизовская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311677202/;Москва;rent;flat;7;24;1;33.3;62900;0;Текстильщики;1-й Грайвороновский проезд;13к1;Новохохловская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313047995/;Москва;rent;flat;3;25;2;45.0;110000;0;Щукино; Берзарина;32;Щукинская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312589917/;Москва;rent;flat;5;21;1;33.7;60700;0;Сокольники; Сокольнический Вал;1;Рижская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309851270/;Москва;rent;flat;2;15;2;46.9;76000;0;Солнцево;Боровское шоссе;2Ак3;Говорово
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/313087277/;Москва;rent;flat;1;5;1;33.0;37000;0;Очаково-Матвеевское; Марии Поливановой;9А;Очаково
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311715969/;Москва;rent;flat;7;33;1;20.0;61800;0;Очаково-Матвеевское;Очаковское шоссе;5к3;Аминьевская
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313036269/;Москва;rent;flat;7;14;1;41.0;60000;0;Северное Измайлово;Сиреневый бульвар;1К4;Черкизовская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312433025/;Москва;rent;flat;15;15;2;51.3;62900;0;; Лобановский Лес;11;Прокшино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312535851/;Москва;rent;flat;23;33;1;32.1;75000;0;Очаково-Матвеевское;Очаковское шоссе;5к4;Аминьевская
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313043928/;Москва;rent;flat;3;16;2;60.0;75000;0;Северное Измайлово;Щелковское шоссе;74;Щёлковская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313040603/;Москва;rent;flat;3;12;1;25.8;65000;0;; Лобановский Лес;11;Прокшино
ID 13430040;realtor;https://www.cian.ru/rent/flat/313092071/;Москва;rent;flat;2;22;1;38.0;48000;0;Можайский;Беловежская ;81;Сетунь
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311783652/;Москва;rent;flat;5;14;1;19.0;64900;0;Сокол;Ленинградский проспект;80к66;Сокол
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/312997055/;Москва;rent;flat;2;9;2;42.0;45000;0;Ивановское; Сталеваров;26К2;Новогиреево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311276407/;Москва;rent;flat;12;17;1;34.0;47500;0;Южное Бутово;Варшавское шоссе;282к2;Щербинка
Лидер Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/312982889/;Москва;rent;flat;17;40;1;41.0;150000;0;Хорошевский;Ленинградский проспект;37/4;ЦСКА
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311739262/;Москва;rent;flat;9;17;1;23.0;36800;0;Южное Бутово;Варшавское шоссе;284к3;Бутово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311745369/;Москва;rent;flat;19;25;2;44.9;60000;0;Крюково;проспект Георгиевский;27к2;Зеленоград — Крюково
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/rent/flat/312972089/;Москва;rent;flat;8;17;1;40.0;50000;0;Марьино;Братиславская ;6К1;Братиславская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311374763/;Москва;rent;flat;4;33;2;68.0;120000;0;Кунцево; Академика Павлова;56к1;Крылатское
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312058277/;Москва;rent;flat;29;33;1;35.8;61700;0;Нижегородский;Новохохловская ;15к3;Калитники
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/312517344/;Москва;rent;flat;18;26;2;55.0;95000;0;Хорошевский; Маргелова;3к3;Беговая
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312778119/;Москва;rent;flat;5;9;1;39.3;47600;0;; Усадебный Парк;5;Прокшино
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312994760/;Москва;rent;flat;15;23;2;58.5;67900;0;Бирюлево Восточное;Загорьевская ;25;Лебедянская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310658058/;Москва;rent;flat;11;16;2;53.6;60700;0;Ясенево;проезд Карамзина;5;Ясенево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310990089/;Москва;rent;flat;21;33;1;39.5;71000;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/309829885/;Москва;rent;flat;10;14;2;65.0;35000;0;;бульвар Скандинавский;23к1;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312172481/;Москва;rent;flat;10;14;2;55.0;60300;0;; Усадебный Парк;7к1;Толстопальцево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310658063/;Москва;rent;flat;8;24;2;56.2;80000;0;; Саларьевская;13к2;Саларьево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312168826/;Москва;rent;flat;12;16;1;38.0;70000;0;Бабушкинский;Печорская ;5;Бабушкинская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/308309212/;Москва;rent;flat;10;25;1;38.4;72000;0;Чертаново Южное;Варшавское шоссе;141Ак2;Аннино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311525131/;Москва;rent;flat;29;33;1;34.0;73000;0;Метрогородок;Открытое шоссе;18Ак1;Бульвар Рокоссовского
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312926911/;Москва;rent;flat;6;44;2;70.0;160000;0;Пресненский;Ходынская ;2;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312723606/;Москва;rent;flat;19;33;1;37.0;63000;0;Рязанский; Михайлова;30Ак4;Плющево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309205157/;Москва;rent;flat;5;9;2;46.9;69900;0;Люблино;проспект 40 лет Октября;22;Депо
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/312967501/;Москва;rent;flat;3;16;1;40.0;105000;0;Даниловский; Архитектора Щусева;5к1;ЗИЛ
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310158744/;Москва;rent;flat;12;33;1;36.0;65000;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312052195/;Москва;rent;flat;25;33;1;34.0;75900;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
ID 46115145;homeowner;https://www.cian.ru/rent/flat/312777038/;Москва;rent;flat;40;77;2;70.0;365000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311701425/;Москва;rent;flat;17;25;1;34.0;67900;0;Люблино;Люблинская ;72Ак2;Депо
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312081112/;Москва;rent;flat;30;33;1;19.6;48900;0;Западное Дегунино;Базовская ;15Бк2;Грачёвская
I AM ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/270370730/;Москва;rent;flat;2;17;1;35.0;55000;0;Можайский;Сколковское шоссе;13;Сетунь
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/312715574/;Москва;rent;flat;8;44;2;75.0;190000;0;Пресненский;Ходынская ;2;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311565214/;Москва;rent;flat;20;38;1;48.1;129900;0;Раменки;Мосфильмовская ;74Б;Ломоносовский проспект
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313047766/;Москва;rent;flat;9;10;1;45.0;70000;0;Измайлово;Сиреневый бульвар;4/7;Партизанская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311701416/;Москва;rent;flat;21;22;2;47.3;75000;0;; Большое Понизовье;1;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311377399/;Москва;rent;flat;14;32;2;44.0;130000;0;Черемушки;Херсонская ;43к5;Зюзино
Градсити;real_estate_agent;https://www.cian.ru/rent/flat/313059109/;Москва;rent;flat;14;14;1;38.0;40000;0;Южное Бутово; Адмирала Лазарева;62;Бунинская аллея
Александр  Назаров;realtor;https://www.cian.ru/rent/flat/301992356/;Москва;rent;flat;4;17;1;55.0;130000;0;Таганский;Брошевский переулок;6С1;Пролетарская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309935083/;Москва;rent;flat;17;33;1;35.7;78200;0;Очаково-Матвеевское;Озерная ;44;Озёрная
PRO ОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/312688418/;Москва;rent;flat;11;27;2;55.0;170000;0;Хорошевский; Авиаконструктора Сухого;2к2;ЦСКА
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310349596/;Москва;rent;flat;11;16;2;55.3;75000;0;Люблино;Люблинская ;72Ак2;Депо
Александр Силантьев;realtor;https://www.cian.ru/rent/flat/313073476/;Москва;rent;flat;3;12;1;35.0;55000;0;Гагаринский; Вавилова;70К3;Профсоюзная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311589855/;Москва;rent;flat;21;31;2;55.0;78200;0;Западное Дегунино;Ижорская ;6к1;Ховрино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312640544/;Москва;rent;flat;2;17;2;33.4;73000;0;;проспект Куприна;18к2;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312721252/;Москва;rent;flat;7;17;2;58.5;109800;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311703257/;Москва;rent;flat;33;33;2;48.0;100000;0;Чертаново Южное;Дорожная ;46к5;Красный Строитель
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/307505402/;Москва;rent;flat;12;33;1;46.1;95000;0;Головинский;Кронштадтский бульвар;9к3;Водный стадион
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312933929/;Москва;rent;flat;6;9;2;66.0;120000;0;Донской;Ленинский проспект;30;Ленинский проспект
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312487774/;Москва;rent;flat;3;33;2;63.1;125000;0;Бутырский; Руставели;14;Бутырская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312200825/;Москва;rent;flat;14;33;1;20.0;62900;0;Отрадное;Сигнальный проезд;16к1;Владыкино
RENT_BAND;real_estate_agent;https://www.cian.ru/rent/flat/313092686/;Москва;rent;flat;2;4;2;45.0;85000;0;Даниловский;Автозаводская ;23К7;ЗИЛ
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/312505487/;Москва;rent;flat;7;9;2;55.0;100000;0;Дорогомилово;Большая Дорогомиловская ;10;Киевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312430674/;Москва;rent;flat;17;18;2;47.1;90000;0;;проспект Прокшинский;9;Прокшино
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313043378/;Москва;rent;flat;4;14;1;40.0;43000;0;Гольяново;Курганская ;6;Щёлковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311545669/;Москва;rent;flat;5;20;2;73.1;125000;0;Останкинский;Олонецкая ;4;Отрадное
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311207207/;Москва;rent;flat;4;22;1;43.2;135300;0;Даниловский;бульвар Братьев Весниных;1;ЗИЛ
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312922909/;Москва;rent;flat;29;33;2;55.0;120000;0;Кунцево; Академика Павлова;56к1;Крылатское
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312097982/;Москва;rent;flat;12;25;1;46.6;73000;0;Солнцево;Боровское шоссе;2к5;Говорово
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312191441/;Москва;rent;flat;8;12;1;40.0;130000;0;Тверской;2-я Брестская ;6;Маяковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311472141/;Москва;rent;flat;2;33;2;60.6;104600;0;Кунцево; Академика Павлова;38к1;Молодёжная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312726483/;Москва;rent;flat;12;25;1;33.4;77200;0;Люблино;Люблинская ;72Ак2;Депо
MODERN HOME;real_estate_agent;https://www.cian.ru/rent/flat/313004120/;Москва;rent;flat;6;44;2;46.3;150000;0;Пресненский;Ходынская ;2;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312421688/;Москва;rent;flat;3;14;2;54.5;80000;0;Очаково-Матвеевское;Большая Очаковская ;42;Озёрная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312164441/;Москва;rent;flat;14;33;1;23.4;62000;0;Очаково-Матвеевское;Очаковское шоссе;5к3;Аминьевская
